1956967341,@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[,,,,
1956967666,Layin n bed with a headache  ughhhh...waitin on your call...,,,,
1956967696,Funeral ceremony...gloomy friday...,,,,
1956967789,wants to hang out with friends SOON!,,,,
1956968416,@dannycastillo We want to trade with someone who has Houston tickets, but no one will.,,,
1956968477,Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends,,,,
1956968487,I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!,,
1956968636,Hmmm. http://www.djhero.com/ is down,,,,
1956969035,@charviray Charlene my love. I miss you,,,,
1956969172,@kelcouch I'm sorry  at least it's Friday?,,,,
1956969456,cant fall asleep,,,,
1956969531,Choked on her retainers,,,,
1956970047,Ugh! I have to beat this stupid song to get to the next  rude!,,,,
1956970424,@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol,,,,
1956970860,Got the news,,,,
1956971077,The storm is here and the electricity is gone,,,,
1956971170,@annarosekerr agreed,,,,
1956971206,So sleepy again and it's not even that late. I fail once again.,,,,
1956971473,@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know,,,,
1956971586,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend,,,,
1956971981,@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too,,,,
1956972097,Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore,
1956972116,No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps,,,,
1956972270,I ate Something I don't know what it is... Why do I keep Telling things about food,,,,
1956972359,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.,,,,
1956972444,On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old,,,,
1956972557,@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!,,
1956972884,Damm servers still down  i need to hit 80 before all the koxpers pass me,,,,
1956973598,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!,,,,
1956973690,I HATE CANCER. I HATE IT I HATE IT I HATE IT.,,,,
1956974706,It is so annoying when she starts typing on her computer in the middle of the night!,,,,
1956975441,@cynthia_123 i cant sleep,,,,
1956975860,I missed the bl***y bus!!!!!!!!,,,,
1956975876,feels strong contractions but wants to go out.  http://plurk.com/p/wxidk,,,,
1956975927,SoCal!  stoked. or maybe not.. tomorrow,,,,
1956976187,Screw you @davidbrussee! I only have 3 weeks...,,,,
1956976312,@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?,,,,
1956976371,I need skott right now,,,,
1956976557,has work this afternoon,,,,
1956976681,@GABBYiSACTiVE Aw you would not unfollow me would you? Then I would cry,,,,
1956977084,mmm much better day... so far! it's still quite early. last day of #uds,,,,
1956977187,@DavidArchie &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform,,,,
1956977618,just picked up her Blackberry from the middle of the street! Both she and it are crushed!,,,,
1956977624,Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...,,,,
1956978276,@creyes middle school and elem. High schools will remain open for those who need credits to graduate. Cali is broken,,,,
1956978410,Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now,,
1956978668,@onscrn Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also,,,
1956979150,I'm having a problem with my photo here in twitter amf!!!...can't see my face!,,,,
1956979437,@jakeboyd, oh noooo!  if i blow a tire you're reaaaally going to have to send up some batman smoke.,,,
1956979756,wnna take a bath!!!!,,,,
1956979894,Chocolate milk is so much better through a straw. I lack said straw,,,,
1956979900,why am i so tired?,,,,
1956979917,@djmicdamn hey yu lil fucker i textd yu,,,,
1956980788,@Mennard time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs,,,
1956980883,@benballer  no way! damn that sucks B!  are you ok?,,,,
1956980972,sucks not being able to take days off of work or have the money to take the trip  so sad,,,,
1956981427,bed...sorta. today was good, sara has strep thought Angelina does to; i shared a water with her B4 they told me, i will prob get it to,,
1956981850,@ramtops the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we'll cope,,,,
1956982075,@lostluna But I got dibs on Sulu...,,,,
1956982383,@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet.,,,
1956982449,@itsgabbith at once haha.  poor aby still gets sore!,,,,
1956982576,diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.,,,,
1956982605,I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;,,,,
1956983160,@Pokinatcha  in all honesty...pain   blech.,,,,
1956983171,Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...,,,,
1956983467,At home alone with not much to do,,,,
1956983509,@DavidCookLove ia so much! i haven't really been happy with any of cooks choices for singles.,,,,
1956983690,@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol,,,,
1956983851,So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin,,,,
1956983874,So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards.,,,
1956983931,I cant give @jertronic any bday nudges.,,,,
