2.88E+17,"Should I put his hand in a warm bowl of water? Haha get cho ass up!!
 @ Kandui "
2.87E+17,"My vibe for the next 10 days... Worth every hour it took to get here.. #kanduiresort
#nobodyarou @ Mentawais "
2.87E+17,Later Padang... Hello Mentawais #kandui #offseason #nobodyaround 
2.87E+17,Finally  @ Padang 
2.87E+17,Just make yourself nice and comfortable anthonymarcotti .. Delayed  @ Jakarta 
2.87E+17,Thanks Jakarta for 5 hours of your time.. 40 hours down 14 to go!! @ INDO 
2.87E+17,?? @ Taipai 
2.87E+17,Shades and a shave.. Back on the move with anthonymarcotti put that thing down Anthony!!  @ Taipai 
2.87E+17,Super energized for the net flight!!! Can't you tell?  @ Taipai 
2.87E+17,14 hours down... 40 more to go... 10 hour layover... nap time  @ Taipei 
2.87E+17,Headed south with anthonymarcotti #Indobound  @ LAX 
2.86E+17,Thinking about growing a real one... Thoughts? Hah good times last night @nickmontealegre 
2.86E+17,He found some new friends 
2.86E+17,Waiting and waiting....... And waiting @ Federal Building 
2.85E+17,I don't think he likes it when I play with his ears... 
2.85E+17,Rephrase... Good man anthonymarcotti 
2.85E+17,Does anybody wanna go for a swim? #nofilter @ Malibu 
2.84E+17,After 10 years she is finally coming home.. 
2.84E+17,Love my brother @sprandoni  and sister @leahfelder .. Family time is so important 
2.84E+17,"If Santa didn't make it to your house, now you know why... We had a rough one    

MERRY CHRISTMAS AND HAPPY "
2.83E+17,Christmas Eve Family Time 
2.83E+17,Doesn't get better than this place 
2.83E+17,Sunrise at sea #nofilter 
2.83E+17,Almost back in civilization... Successful mission with DAC and @sprandoni  @ Off the Map 
2.82E+17,Just posted a photo 
2.82E+17,See you in a couple days @ Pt Conception 
2.82E+17,Rise and shine 
2.82E+17,Always nice to be home @ Malibu 
2.82E+17,It's time to get rid of this thing... #ItoldyouiwasnotlyingwhenIdidntgetthemessage 
2.81E+17,Just posted a photo 
2.81E+17,Windy days tackelberry 
2.81E+17,Paradise  @ Indo 
2.81E+17,Played a good round today with pops... Bruiser was on fire today unfortunately  @ Sherwood CC 
2.81E+17,Just posted a photo @ Malibu 
2.81E+17,This game is legit
2.80E+17,This is one of the greatest photos I've ever seen.. Thanks sis @leahfelder 
2.80E+17,She won't take no for an answer!! Haha best cat in the world 
2.80E+17,Follow the light 
